,id,original_title,popularity,release_date,title,vote_average,vote_count
2014,14163,चकदे! इंडिया,8.029,2007-08-10,Chak De! India,7.3,239
2015,9609,Of Mice and Men,10.235,1992-09-16,Of Mice and Men,7.3,480
2016,9587,Little Women,17.173,1994-12-21,Little Women,7.3,995
2017,830,Forbidden Planet,10.833,1956-03-23,Forbidden Planet,7.3,684
2018,508642,곤지암,26.99,2018-03-28,Gonjiam: Haunted Asylum,7.3,373
2019,12140,イノセンス,14.93,2004-03-06,Ghost in the Shell 2: Innocence,7.3,650
2020,318781,Colonia,13.855,2015-06-24,Colonia,7.3,1657
2021,197082,La Vénus à la fourrure,8.156,2013-05-28,Venus in Fur,7.3,577
2022,57212,War Horse,22.451,2011-12-25,War Horse,7.3,2867
2023,24748,Hud,8.93,1963-05-28,Hud,7.3,214
2024,3176,バトル・ロワイアル,21.994,2000-12-16,Battle Royale,7.3,2697
2025,1433,El espinazo del diablo,13.014,2001-04-20,The Devil's Backbone,7.3,936
2026,306745,Freeheld,8.67,2015-10-02,Freeheld,7.3,558
2027,53486,L'amico di famiglia,5.046,2006-10-01,The Family Friend,7.3,239
2028,53457,Elle s'appelait Sarah,9.706,2010-09-16,Sarah's Key,7.3,604
2029,20246,The Stranger,7.659,1946-07-02,The Stranger,7.3,444
2030,11072,Blazing Saddles,10.167,1974-02-07,Blazing Saddles,7.3,1449
2031,10440,Manhattan Murder Mystery,11.095,1993-05-02,Manhattan Murder Mystery,7.3,853
2032,4771,Gone Baby Gone,12.557,2007-06-06,Gone Baby Gone,7.3,3008
2033,1725,West Side Story,11.962,1961-12-13,West Side Story,7.3,1492
2034,585245,Clifford the Big Red Dog,371.34,2021-11-10,Clifford the Big Red Dog,7.3,1292
2035,330457,Frozen II,159.161,2019-11-20,Frozen II,7.3,8256
2036,167073,Brooklyn,12.487,2015-10-20,Brooklyn,7.3,2734
2037,15080,おもひでぽろぽろ,16.484,1991-07-20,Only Yesterday,7.3,785
2038,11537,蛇形刁手,13.239,1978-03-01,Snake in the Eagle's Shadow,7.3,242
2039,10312,Patch Adams,19.524,1998-12-25,Patch Adams,7.3,2736
2040,764,The Evil Dead,40.851,1981-09-10,The Evil Dead,7.3,2970
2041,377,A Nightmare on Elm Street,41.776,1984-11-09,A Nightmare on Elm Street,7.3,4012
2042,785539,Resort to Love,38.599,2021-07-29,Resort to Love,7.3,328
2043,486947,Den skyldige,12.518,2018-06-14,The Guilty,7.3,1343
